candidate_id,title,year,publisher,metadata_source,source_url,final_url,raw_sha256,text_sha256,text_words
MEDIA-032,80 000 AMCU workers on strike in platinum sector,2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/80-000-amcu-workers-on-strike-in-platinum-sector-2014-01-23,https://www.miningweekly.com/article/80-000-amcu-workers-on-strike-in-platinum-sector-2014-01-23,0c17243f2813e13a69c0d60211408c13f578db8cccaf8478f6d6d3945a2a3627,2f34f2ae26f6a569bb4533218014ee6a10c7fa1f5dbbf6b90f8b134bd96be6ea,1231
MEDIA-033,Strike-hit mothers have no food to put on the table – Lonmin,2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,565aa7e3f070ccdc0a6a3031824cc7a0b0702acfad6883ae2a74edc24de3058a,bdde2146058551a3cb378e07c37702ea896f053309cfb27388040e0db5d90f9f,1286
MEDIA-034,Miners regress on ARV treatment – Lonmin,2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,b6ceef401cfee8884f58e41b3dcc9caa953d273bd4264c3a5049dd6d63e64115,7fe9419c523f7bccdfc149fb1e17da4233c16f2f502960fbea6049db60811d9d,626
MEDIA-035,"AMCU opens strike fund for members, calls for donations",2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/amcu-opens-strike-fund-for-members-calls-for-donations-2014-04-15,https://www.miningweekly.com/article/amcu-opens-strike-fund-for-members-calls-for-donations-2014-04-15,9efec4840cc5e4e020f22c7583e48ca68650667b867d5683813a3a1cdea5c940,6bb6e17eb3005a5a2e8fb45d66d080ce0c5e6272b21b2a13d3a109ec6d5d9ebc,683
MEDIA-036,AMCU considering all options – negotiator,2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/amcu-considering-all-options-negotiator-2014-05-29,https://www.miningweekly.com/article/amcu-considering-all-options-negotiator-2014-05-29,2aa8b2549a1c00d814cc4925d7e47e4b954316f1e856c51642066e4e87bb09c3,4db3dfd0288ebd3830c8bf13dde9be0a3bed26d981942694883c5015f3907f63,744
MEDIA-037,Housing Miners,2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/housing-miners-2014-11-11,https://www.miningweekly.com/article/housing-miners-2014-11-11,156e9581e5122aca2ea35e2bc06ce5b5510fb5d7724969d6f7ec43d18f94c334,0c47f3b4f0621fd6acb09652553bf37b8039838e0162ee315bbc45889619276e,1748
MEDIA-038,"AMCU stands firm on R12 500 demand, Lonmin calls on union to reconsider 9%",2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,https://www.miningweekly.com/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,9a363911e64f4eb163824c71988a2cba4c5cb5cb56557e47259b3211cb421bb7,94e3ad1f6b6588ff3cb8ed3b8602b93ff58845987c9b84a4819123536f32a898,814
MEDIA-039,Mining towns get R18bn facelift,2015,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/mining-towns-get-r18bn-facelift-2015-07-01,https://www.miningweekly.com/article/mining-towns-get-r18bn-facelift-2015-07-01,50eed57f463db529e797b3f814bb060c862ff05ddb8c2ea2dc4b9b3aad552160,979fcb51a45f5211f7ff5556a3a57e30e37e24465219e9928fb5acf894c8206c,1624
MEDIA-040,"Farlam finds against Lonmin, recommends enforced housing delivery",2015,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/farlam-finds-against-lonmin-recommends-enforced-housing-delivery-2015-06-25,https://www.miningweekly.com/article/farlam-finds-against-lonmin-recommends-enforced-housing-delivery-2015-06-25,1b93df3529d83ca3cb9bfd7b61cf87ee5cb9d5128320375773fd4b4180219625,d05abd9b75e95d276d8c99fc43c6f99a8e073c1cb9546a8cc819f40ae9026a95,2197
MEDIA-041,Govt commits billions for revitalisation of mining-dependent communities,2016,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/govt-commits-billions-for-revitalisation-of-mining-dependent-communities-2016-02-05,https://www.miningweekly.com/article/govt-commits-billions-for-revitalisation-of-mining-dependent-communities-2016-02-05,a978c1d4daf4eef9664e10b7c18bc631a945fd6dbd274b3b8416d1832b8796de,2035a12ea1bc328e45fa874222aee0324e313807c7c60fa2dd4548da7681f6c5,1678
