record_id,title,year,publisher,url,execution_recovery_status,execution_extraction_method,execution_words,execution_text_sha256,final_url,error,frozen_provenance_text_sha256,frozen_provenance_text_words
DISC-MEDIA-0386,Community Lonmin To Pursue Equity Trust For Development,2014,Engineering News,https://www.engineeringnews.co.za/article/community-lonmin-to-pursue-equity-trust-for-development-2014-05-02,retrieved_extracted,trafilatura,389,305620600bc5c46d3eebbc85b4fe87fbabff9cd448f00e8109a650988a2bb54a,https://www.engineeringnews.co.za/article/community-lonmin-to-pursue-equity-trust-for-development-2014-05-02,,e32784d61058bd7717574594e9df318fbb4ff3a58863d250357ae793f6273ca7,387
SEC-MEDIA-0437,No Current Negotiations After Amcu Members Resoundingly Rejected Latest Offer Mathunjwa,2014,Engineering News,https://www.engineeringnews.co.za/article/no-current-negotiations-after-amcu-members-resoundingly-rejected-latest-offer-mathunjwa-2014-05-05,retrieved_extracted,trafilatura,1389,e9d9c16aedb1a91bd536935f6f38342fbd101d6c2fd70e0ea91f39f78b184c3d,https://www.engineeringnews.co.za/article/no-current-negotiations-after-amcu-members-resoundingly-rejected-latest-offer-mathunjwa-2014-05-05,,e8a66bbdfc3c68fdd2cf301fdc8a737974e7fba31585055945c3bd12875be034,1389
DISC-MEDIA-0151,Elections In Marikana The Mining Belt Makes Its Mark In Pictures,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-07-elections-in-marikana-the-mining-belt-makes-its-mark-in-pictures/,retrieved_extracted,trafilatura,122,4dd581d3b519f48f927b49015654a236978665746115dc65d73cd30e2a876f4c,https://www.dailymaverick.co.za/article/2014-05-07-elections-in-marikana-the-mining-belt-makes-its-mark-in-pictures/,,24f0b9f71b0c108635d91bb84ad46eeb9e4a88d43dcd8425c9c65533191587a2,122
SEC-MEDIA-0497,Producers To Oppose Amcu Direct Communication Court Application,2014,Engineering News,https://www.engineeringnews.co.za/article/producers-to-oppose-amcu-direct-communication-court-application-2014-05-14,retrieved_extracted,trafilatura,762,576fc0a2dcac06fe7b5d5ddd3bcfd042d2aae883acb3dc160e8edc7cb3bf286f,https://www.engineeringnews.co.za/article/producers-to-oppose-amcu-direct-communication-court-application-2014-05-14,,29f3ccaf5f91cb67d21655ac7e3a159afa9f91bb3ea9a0ffc8dc58ddf2889950,762
DISC-MEDIA-0152,Marikana Commission Man And His Truth A Story Of The Policemen Who Was Not Afraid,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-15-marikana-commission-man-and-his-truth-a-story-of-the-policemen-who-was-not-afraid/,retrieved_extracted,trafilatura,3660,f36e386da42755916e6dee502ee45d07f44fc38ab1282241ec70a5f8182997bd,https://www.dailymaverick.co.za/article/2014-05-15-marikana-commission-man-and-his-truth-a-story-of-the-policemen-who-was-not-afraid/,,dae8d1517500879e8b092418bd714ab21bc5121428997e959726247768323e92,3660
DISC-MEDIA-0153,Platinum Strikes The Marikana Standoff Continues,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-15-platinum-strikes-the-marikana-standoff-continues/,retrieved_extracted,trafilatura,1164,e45c7adb4253829849d0308e1dbd34382f3908b1c93f9f53cd4e385857387130,https://www.dailymaverick.co.za/article/2014-05-15-platinum-strikes-the-marikana-standoff-continues/,,809069439d7132a418e75837ecdbc3cd351c1dff6080a4ecd13ad60bc3fab93a,1164
DISC-MEDIA-0154,Marikana Commission All For Nought,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-19-marikana-commission-all-for-nought/,retrieved_extracted,trafilatura,753,551763d048bff0779b6f459644d413f2b1b03e26a0566b46656663abfdacab42,https://www.dailymaverick.co.za/article/2014-05-19-marikana-commission-all-for-nought/,,38a0e6d7350fec8c9cbcd9aecc3b866b474a485ed0b1eeef79a26e8fde025f03,753
DISC-MEDIA-0518,Lonmin To Oppose Amcu Labour Court Interdict,2014,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-oppose-amcu-labour-court-interdict-2014-05-19,retrieved_extracted,trafilatura,793,f1b454e73e779a0624625df019f8cea5e1e575c01b91e38260b25d3b942e4df5,https://www.engineeringnews.co.za/article/lonmin-to-oppose-amcu-labour-court-interdict-2014-05-19,,30e604dc30786ca181e956911ca6123214789a87ef6dc6b648343f5e06c0f2ac,791
SEC-MEDIA-0429,Nedlac Wants Platinum Strike Resolved,2014,Engineering News,https://www.engineeringnews.co.za/article/nedlac-wants-platinum-strike-resolved-2014-05-19,retrieved_extracted,trafilatura,603,7eba0933e2a94500acde869fe16a8e07479ffdb480a5607a7a5f05502c67f1a4,https://www.engineeringnews.co.za/article/nedlac-wants-platinum-strike-resolved-2014-05-19,,f4bb146a32841aad7dd9cd7643e50ad17d0917111bc8eca14c14d80904e44a1f,603
SEC-MEDIA-0020,Platinum Strikes Lets See Yo Cards Boys,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-20-platinum-strikes-lets-see-yo-cards-boys/,retrieved_extracted,trafilatura,1073,7e3b345498e471ec56b705db0d7b973a1d0eb11ebe9effefbe5cd69f112bf304,https://www.dailymaverick.co.za/article/2014-05-20-platinum-strikes-lets-see-yo-cards-boys/,,90ed97d85e91bb271b2efba527a4dfacad7947eb6d278d3a26b010c2c46af9b1,1073
SEC-MEDIA-0482,Platinum Producers Amcu Agree To Labour Court Mediation,2014,Engineering News,https://www.engineeringnews.co.za/article/platinum-producers-amcu-agree-to-labour-court-mediation-2014-05-20,retrieved_extracted,trafilatura,491,699e109a9373ab26d37f2afdd9e2b807a0e9f090a6086cff6c996a633dfbb405,https://www.engineeringnews.co.za/article/platinum-producers-amcu-agree-to-labour-court-mediation-2014-05-20,,e547c1ff7f1e7e91623a9f78abced872e2d31c72012864c590d6ad6bda7e0f90,491
SEC-MEDIA-0194,Amcu Producers Optimistic About Talks,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-producers-optimistic-about-talks-2014-05-21,retrieved_extracted,trafilatura,621,b0fa950ed07cc84c99f944cea9234e06f847427c1b7ef818d33d1dfa7bbe76bd,https://www.engineeringnews.co.za/article/amcu-producers-optimistic-about-talks-2014-05-21,,06ad4a7cfbe34e8c751cdf52d3e1671e221d58ae7ceea3d95c2526f0358e909e,621
SEC-MEDIA-0490,Platinum Strike Threatens Contractor Longevity,2014,Engineering News,https://www.engineeringnews.co.za/article/platinum-strike-threatens-contractor-longevity-2014-05-23,retrieved_extracted,trafilatura,1027,845e3d8b139cf3369408d75418b1dda2793008e83d03d61d1304f70661851413,https://www.engineeringnews.co.za/article/platinum-strike-threatens-contractor-longevity-2014-05-23,,d12f5553087ce21f55446c1d595e58fe5819e56a3a67f24f7c2f205955457ee4,1027
DISC-MEDIA-0155,A Roadshow Like No Other Striking Marikana Miners Looking To Win Hearts And Minds,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-26-a-roadshow-like-no-other-striking-marikana-miners-looking-to-win-hearts-and-minds/,retrieved_extracted,trafilatura,1264,7e698819bb7341e5d2f5ce056ae000350e18900285b0d42c7b6a94c0883408f9,https://www.dailymaverick.co.za/article/2014-05-26-a-roadshow-like-no-other-striking-marikana-miners-looking-to-win-hearts-and-minds/,,ece16f57f253a86469e322fbe3ba6d1ddadc8e6fa0513984f28a96d11023a6e4,1264
SEC-MEDIA-0021,Platinum Strikes Hope For The Next Step But Which Way,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-27-platinum-strikes-hope-for-the-next-step-but-which-way/,retrieved_extracted,trafilatura,1210,99aa9ba7eac229e51f0750f025723b69f2d3093a804d7d50255ad7c29543ee95,https://www.dailymaverick.co.za/article/2014-05-27-platinum-strikes-hope-for-the-next-step-but-which-way/,,4dd818dff759df97c6b042642c6b17446bbff90b6e5cd1846c65a4cc67e8117c,1210
SEC-MEDIA-0425,Minister Sets Up Technical Team To Resolve Platinum Strike,2014,Engineering News,https://www.engineeringnews.co.za/article/minister-sets-up-technical-team-to-resolve-platinum-strike-2014-05-28,retrieved_extracted,trafilatura,562,c7f437ddc36911cd9323347db4db15df7041e998232e8f8b0805ca22867139f8,https://www.engineeringnews.co.za/article/minister-sets-up-technical-team-to-resolve-platinum-strike-2014-05-28,,041bd4809716dffd226ebb0d6dc668c60d3abeb6e325927aa83ec34313fb5f1a,562
DISC-MEDIA-0334,When The New Repeats The Old Marikana Haunts New Zuma Cabinet,2014,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2014-05-29-when-the-new-repeats-the-old-marikana-haunts-new-zuma-cabinet/,retrieved_extracted,trafilatura,982,ad60abfaf0bc02ca00f51440080a543d464241d128bb081ddbea5327c5aa1c03,https://www.dailymaverick.co.za/opinionista/2014-05-29-when-the-new-repeats-the-old-marikana-haunts-new-zuma-cabinet/,,bc65066a67a11ec2b033e0a50ceabf95bbf6b310df91d3a6b18e3aed9eb3f810,982
SEC-MEDIA-0258,Amplats Implats Refute Amcu Tax Wage Evasion Claims,2014,Engineering News,https://www.engineeringnews.co.za/article/amplats-implats-refute-amcu-tax-wage-evasion-claims-2014-05-30,retrieved_extracted,trafilatura,647,e8224d93031acaa2fb45db4da4c01c137401f12633025471e7011b5f112362fe,https://www.engineeringnews.co.za/article/amplats-implats-refute-amcu-tax-wage-evasion-claims-2014-05-30,,9106d1fa02f9c7f358dd584907e68c2cd01588866f8ca25e2c0f3ebc086130f9,647
