min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
2,2,salience_times_contention,0.1,Market Stability,0.15,0.016745306223773477,0.14778599068425946,-0.002214009315740534
2,2,salience_times_contention,0.1,Local Employment,0.15,0.6834383321392938,0.15762230840075295,0.007622308400752953
2,2,salience_times_contention,0.1,Community Infrastructure,0.1,0.4882310325180029,0.10316149383060157,0.003161493830601561
2,2,salience_times_contention,0.3,NPV,0.25,0.02141828438395139,0.23961543800391094,-0.010384561996089059
2,2,salience_times_contention,0.3,IRR,0.2,0.01070681847480857,0.1910802913566281,-0.00891970864337191
2,2,salience_times_contention,0.3,Geological Feasibility,0.15,0.03640960180519497,0.14441172188715792,-0.005588278112842071
2,2,salience_times_contention,0.3,Market Stability,0.15,0.016745306223773477,0.14356900039793122,-0.0064309996020687765
2,2,salience_times_contention,0.3,Local Employment,0.15,0.6834383321392938,0.17214040471446315,0.022140404714463158
2,2,salience_times_contention,0.3,Community Infrastructure,0.1,0.4882310325180029,0.10918314363990872,0.009183143639908714
2,2,salience_times_contention,0.5,NPV,0.25,0.02141828438395139,0.23322535521500867,-0.016774644784991327
2,2,salience_times_contention,0.5,IRR,0.2,0.01070681847480857,0.1855915979764452,-0.014408402023554812
2,2,salience_times_contention,0.5,Geological Feasibility,0.15,0.03640960180519497,0.14097300585831438,-0.009026994141685618
2,2,salience_times_contention,0.5,Market Stability,0.15,0.016745306223773477,0.13961172036165304,-0.010388279638346959
2,2,salience_times_contention,0.5,Local Employment,0.15,0.6834383321392938,0.18576438030038608,0.03576438030038609
2,2,salience_times_contention,0.5,Community Infrastructure,0.1,0.4882310325180029,0.11483394028819272,0.01483394028819271
2,2,salience_times_contention,0.8,NPV,0.25,0.02141828438395139,0.22434554695939157,-0.025654453040608427
2,2,salience_times_contention,0.8,IRR,0.2,0.01070681847480857,0.17796438149115257,-0.022035618508847443
2,2,salience_times_contention,0.8,Geological Feasibility,0.15,0.03640960180519497,0.1361944857686093,-0.013805514231390703
2,2,salience_times_contention,0.8,Market Stability,0.15,0.016745306223773477,0.13411259161844485,-0.01588740838155514
2,2,salience_times_contention,0.8,Local Employment,0.15,0.6834383321392938,0.20469657490235735,0.05469657490235735
2,2,salience_times_contention,0.8,Community Infrastructure,0.1,0.4882310325180029,0.12268641926004432,0.02268641926004432
2,2,salience_only,0.0,NPV,0.25,0.024100333269243095,0.25,0.0
2,2,salience_only,0.0,IRR,0.2,0.010890757136868384,0.2,0.0
2,2,salience_only,0.0,Geological Feasibility,0.15,0.03666224338951211,0.15,0.0
2,2,salience_only,0.0,Market Stability,0.15,0.01846039223226303,0.15,0.0
2,2,salience_only,0.0,Local Employment,0.15,0.6838921259058126,0.15,0.0
2,2,salience_only,0.0,Community Infrastructure,0.1,0.5051457169744659,0.1,0.0
2,2,salience_only,0.1,NPV,0.25,0.024100333269243095,0.24642389778755797,-0.003576102212442034
2,2,salience_only,0.1,IRR,0.2,0.010890757136868384,0.19687933190465554,-0.0031206680953444754
2,2,salience_only,0.1,Geological Feasibility,0.15,0.03666224338951211,0.14803962541663604,-0.001960374583363955
2,2,salience_only,0.1,Market Stability,0.15,0.01846039223226303,0.14777115018434625,-0.002228849815653744
2,2,salience_only,0.1,Local Employment,0.15,0.6838921259058126,0.15758619249667047,0.007586192496670474
2,2,salience_only,0.1,Community Infrastructure,0.1,0.5051457169744659,0.10329980221013363,0.0032998022101336233
2,2,salience_only,0.3,NPV,0.25,0.024100333269243095,0.2396179202863446,-0.010382079713655401
2,2,salience_only,0.3,IRR,0.2,0.010890757136868384,0.19094012894457993,-0.009059871055420082
