canonical_record_id,source_phase,title,year,publisher,url,text_sha256,text_words,analysis_ready,cross_phase_status,duplicate_representative_record_id,explicit_duplicate_review_status,broad_near_duplicate_review_status,textwide_near_duplicate_review_status,fresh_recovery_reconciliation_status,corpus_freeze_status
expanded_media_candidates__EXP-MEDIA-025,prior_screened_300,amaBhungane: 'War' looming over Marikana housing evictions,2016,Daily Maverick,https://www.dailymaverick.co.za/article/2016-08-31-amabhungane-war-looming-over-marikana-housing-evictions/,915f52080c81dac97b35af50a3fff0165753883fcae554b6bba18171c87d42a8,1432,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-025,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-029,prior_screened_300,Marikana: What's been done on SAPS recommendations?,2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-08-16-marikana-whats-been-done-on-saps-recommendations/,ae4f7dc53801bcaaabaea1153d7da4af0a5f057b94a93b1db37dd2ff07f898bc,1215,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-029,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-033,prior_screened_300,Community wants ConCourt to declare R5bn Lonmin deal illegal,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-07-21-community-wants-concourt-to-declare-r5bn-lonmin-deal-illegal/,f783e5e5c3e7928636b4bb8f7eb833428512f28ab3dd4aa888bd4b1754e48190,839,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-033,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-035,prior_screened_300,"Marikana massacre: The devastating impact of the narrative painted by business, police and the state",2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-08-26-marikana-massacre-the-devastating-impact-of-the-narrative-painted-by-business-police-and-the-state/,9ce4957dd8c906e04ff650d7bad28fd70a61fd475c7b69b25c913e5908699acb,1268,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-035,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-036,prior_screened_300,"SAPS transformation: Key report gathers dust, snubbing Marikana Commission",2021,Daily Maverick,https://www.dailymaverick.co.za/article/2021-01-17-saps-transformation-key-report-gathers-dust-snubbing-marikana-commission/,6649e3520f5997f75705a0909bde00a03a97ccfbbc715ac354aebd2594b1c50c,1222,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-036,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-037,prior_screened_300,Lonmin workers embark on illegal work stoppage,2013,Mining Weekly,https://www.miningweekly.com/article/illegal-strike-erupts-at-lonmin-2013-03-05,b763bae40df748d570ece64fca07138d9be28acad35ec80381f814d7f1deb773,953,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-037,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-038,prior_screened_300,"AMCU, Lonmin find strike-averting meeting point?",2013,Mining Weekly,https://www.miningweekly.com/article/amcu-lonmin-find-strike-averting-meeting-point-deputy-president-2013-06-21,fc217934476c4a8a7270cc410af34a74d2af51f6c33364861415f1d49b5d18d7,1134,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-038,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-039,prior_screened_300,Lonmin confirms work stoppage across shafts,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-confirms-work-stoppage-across-shafts-2013-05-14,df08c6f12578837cbd87a411b789e1505a8dd33498fd2f50850c260e8516098c,572,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-039,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-040,prior_screened_300,"AMCU, Lonmin talks reach deadlock, formal arbitration to start",2013,Mining Weekly,https://www.miningweekly.com/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,21f08622c1d677fade9452eaef495c867ab194d1448009134a3e719b398d1cc3,540,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-040,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-041,prior_screened_300,"Lonmin to lose 3 100 oz/d, Implats 2 800 oz/d in production owing to AMCU strike",2014,Mining Weekly,https://www.miningweekly.com/article/lonmin-to-lose-3-100-ozd-implats-2-800-ozd-in-production-owing-to-amcu-strike-2014-01-23,1a5de03b25f2ba8b720e595bc1057a5d5d610653c3125f4a1f3d93c22768f2cc,608,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-041,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-042,prior_screened_300,"AMCU, platinum companies' wage talks stall",2014,Mining Weekly,https://www.miningweekly.com/article/amcu-platinum-companies-wage-talks-stall-2014-02-06,d6c0110661485e353011bc411373a312bcf073216d1ebd4d8bca5b12bdcb759a,693,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-042,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-043,prior_screened_300,AMCU sidelined as platinum producers take offer directly to employees,2014,Mining Weekly,https://www.miningweekly.com/article/amcu-sidelined-as-platinum-producers-take-offer-directly-to-employees-2014-04-25,fa1b5226f7f650dae70c5457afab8bebc5c3d8bfeffade178cf813936739152d,765,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-043,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-044,prior_screened_300,"Lonmin hit hardest by strike, third capital raising expected",2014,Mining Weekly,https://www.miningweekly.com/article/lonmin-hit-hardest-by-strike-third-capital-raising-expected-2014-05-22,0ef96d230189acb9b1ac83b83353921d1c2657c78c2f3e5dba56a4c96ee0b0c0,624,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-044,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-045,prior_screened_300,"AMCU rejects platinum offer, sticking to R12 500 demand",2014,Mining Weekly,https://www.miningweekly.com/article/amcu-rejects-platinum-offer-sticking-to-r12-500-demand-2014-01-31,e38134816da755b73e4b3b788b7bd6ce10774100b64ebf005507d75a7955bfc3,650,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-045,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates_02__EXP-MEDIA-046,prior_screened_300,Farlam Commission: More Marikana massacre secrets and lies,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-14-farlam-commission-more-marikana-massacre-secrets-and-lies/,16d45ce417fd4b0a6a6ca0cee0240395176fe0f3aadad7fe18fc56bd988a496e,1639,true,retained_prior_screened_record,expanded_media_candidates_02__EXP-MEDIA-046,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
